date,ticker,open,high,low,close,volume
2023-05-25,AAPL,294.75,296.58,293.69,295.67,1414283
2023-05-26,AAPL,294.67,295.43,294.03,294.55,2421601
2023-05-29,AAPL,294.69,296.09,292.84,295.6,2708623
2023-05-30,AAPL,295.83,297.14,294.24,296.67,2292438
2023-05-31,AAPL,296.53,297.27,295.46,296.43,3072471
2023-06-01,AAPL,295.75,295.93,294.12,294.8,3696115
2023-06-02,AAPL,294.43,294.78,292.61,292.8,1086791
2023-06-05,AAPL,295.2,295.37,295.17,295.24,4520578
2023-06-06,AAPL,294.45,295.91,294.06,294.72,3860041
2023-06-07,AAPL,293.04,294.11,291.85,294.05,2171427
2023-06-08,AAPL,294.17,294.55,293.49,293.96,2960313
2023-06-09,AAPL,293.28,293.84,291.73,292.56,3457876
2023-06-12,AAPL,290.47,291.65,288.77,289.72,3409053
2023-06-13,AAPL,289.17,289.22,288.99,289.12,3367747
2023-06-14,AAPL,286.36,286.71,284.54,285.14,4373797
2023-06-15,AAPL,287.73,288.35,286.34,288.14,2514902
2023-06-16,AAPL,287.23,287.8,287.23,287.66,3104434
2023-06-19,AAPL,287.2,288.51,285.95,287.0,2546405
2023-06-20,AAPL,286.38,286.52,285.88,285.95,2050668
2023-06-21,AAPL,286.51,286.84,284.53,285.5,2770897
2023-06-22,AAPL,284.73,286.44,283.98,285.3,1566556
2023-06-23,AAPL,285.17,285.78,283.63,284.47,2750471
2023-06-26,AAPL,284.85,285.21,283.46,283.77,4707627
2023-06-27,AAPL,282.73,283.27,282.6,282.88,4807770
2023-06-28,AAPL,283.12,283.79,282.28,282.68,1848500
2023-06-29,AAPL,282.49,284.3,282.44,282.55,2907505
2023-06-30,AAPL,281.7,281.9,280.45,280.93,3341154
2023-07-03,AAPL,279.32,279.38,279.19,279.37,2195150
2023-07-04,AAPL,280.36,281.1,279.55,279.58,2710027
2023-07-05,AAPL,277.82,278.41,276.61,277.23,3853934
2023-07-06,AAPL,278.81,279.46,277.99,278.64,4206432
2023-07-07,AAPL,277.43,278.39,277.31,277.49,4761652
2023-07-10,AAPL,277.88,279.7,277.74,279.62,3139646
2023-07-11,AAPL,279.64,279.78,278.4,279.74,3242760
2023-07-12,AAPL,280.04,280.49,279.77,279.86,1211303
2023-07-13,AAPL,281.18,283.04,280.04,281.15,4744230
2023-07-14,AAPL,280.71,282.6,279.47,280.05,1395696
2023-07-17,AAPL,279.36,279.39,277.57,278.63,4605082
2023-07-18,AAPL,280.48,282.17,279.59,281.45,2512865
2023-07-19,AAPL,280.22,281.78,278.58,280.34,2408338
2023-07-20,AAPL,280.28,280.59,279.51,280.25,3209135
2023-07-21,AAPL,279.99,280.61,279.42,280.54,2787123
2023-07-24,AAPL,279.68,280.37,278.36,280.23,2195572
2023-07-25,AAPL,280.05,281.75,279.7,281.22,1518801
2023-07-26,AAPL,280.99,282.61,280.83,281.94,3919029
2023-07-27,AAPL,280.66,281.88,279.81,281.29,1806623
2023-07-28,AAPL,280.24,281.14,278.7,280.4,4456294
2023-07-31,AAPL,282.48,284.16,280.74,282.95,4321736
2023-08-01,AAPL,284.21,284.36,283.63,283.92,1310288
2023-08-02,AAPL,285.34,285.64,284.75,285.1,3032337
2023-08-03,AAPL,285.25,286.4,283.55,283.57,2440479
2023-08-04,AAPL,286.31,286.85,284.35,285.56,2158216
2023-08-07,AAPL,284.74,285.6,283.19,284.59,1841933
2023-08-08,AAPL,285.7,287.27,284.64,285.2,4393882
2023-08-09,AAPL,284.76,286.02,282.83,283.31,3474265
2023-08-10,AAPL,283.88,285.4,282.83,284.72,3799971
2023-08-11,AAPL,283.29,283.37,281.45,281.8,3711297
2023-08-14,AAPL,281.78,282.64,279.86,280.21,3126470
2023-08-15,AAPL,280.57,281.34,279.93,280.51,4988200
2023-08-16,AAPL,280.24,280.94,280.2,280.89,2355590
2023-08-17,AAPL,280.44,281.01,278.85,279.93,3745973
2023-08-18,AAPL,280.09,281.49,280.03,281.26,2809527
2023-08-21,AAPL,282.13,283.57,280.23,280.54,4445594
2023-08-22,AAPL,279.76,280.95,279.56,280.54,1487457
2023-08-23,AAPL,279.34,281.3,279.19,280.32,4387735
2023-08-24,AAPL,281.55,282.39,281.05,282.22,2577702
2023-08-25,AAPL,282.08,282.82,280.22,281.17,3175107
2023-08-28,AAPL,280.28,281.65,279.48,279.58,3951572
2023-08-29,AAPL,280.78,281.31,278.93,280.76,2736150
2023-08-30,AAPL,279.77,281.31,277.99,278.33,4666959
2023-08-31,AAPL,279.78,281.1,278.9,280.73,1878773
2023-09-01,AAPL,280.52,282.23,279.52,279.92,2932733
2023-09-04,AAPL,280.2,281.11,278.58,280.02,2158368
2023-09-05,AAPL,279.85,281.77,278.58,281.47,4588798
2023-09-06,AAPL,282.31,282.89,281.43,282.63,2382921
2023-09-07,AAPL,283.8,284.84,283.4,284.45,4235010
2023-09-08,AAPL,283.03,283.1,281.49,282.25,3496692
2023-09-11,AAPL,281.97,283.56,280.72,283.47,2053046
2023-09-12,AAPL,283.02,284.62,282.44,283.15,1682898
2023-09-13,AAPL,282.9,283.25,281.43,281.52,1843822
2023-09-14,AAPL,282.72,282.8,282.27,282.38,2027305
2023-09-15,AAPL,282.15,283.91,281.59,283.67,3557587
2023-09-18,AAPL,282.66,283.18,282.65,282.94,2622740
2023-09-19,AAPL,281.65,282.59,280.16,280.2,4738991
2023-09-20,AAPL,280.77,281.69,280.53,280.87,4414508
2023-09-21,AAPL,279.73,281.02,279.36,281.02,1668848
2023-09-22,AAPL,280.86,281.89,280.6,281.19,1350786
2023-09-25,AAPL,281.14,282.75,280.47,282.69,4524104
2023-09-26,AAPL,282.43,283.34,282.22,282.97,4880228
2023-09-27,AAPL,283.82,285.02,282.27,284.17,3039903
2023-09-28,AAPL,283.16,284.0,283.03,283.55,4116418
2023-09-29,AAPL,283.02,284.98,281.74,284.57,2290473
2023-10-02,AAPL,286.05,286.41,285.95,286.03,1860377
2023-10-03,AAPL,284.39,285.21,283.95,284.36,3910055
2023-10-04,AAPL,285.43,287.41,285.09,287.29,4789853
2023-10-05,AAPL,287.85,289.14,287.46,288.12,4961349
2023-10-06,AAPL,288.58,290.31,286.92,287.28,4854429
2023-10-09,AAPL,286.1,287.18,284.54,285.31,1653421
2023-10-10,AAPL,285.82,286.13,285.13,285.47,4931907
2023-10-11,AAPL,285.24,285.67,283.52,284.41,2274751
2023-10-12,AAPL,285.18,286.15,285.05,285.94,1734752
2023-10-13,AAPL,285.95,286.93,284.46,285.85,2577096
2023-10-16,AAPL,284.22,284.73,282.41,283.46,4025360
2023-10-17,AAPL,283.87,284.55,283.76,284.07,4270636
2023-10-18,AAPL,283.13,283.53,282.19,282.95,1449293
2023-10-19,AAPL,282.58,283.73,281.23,282.21,1417287
2023-10-20,AAPL,283.01,283.06,281.96,282.23,4814579
2023-10-23,AAPL,281.25,281.5,280.09,280.58,2294980
2023-10-24,AAPL,280.83,281.62,279.64,280.81,3960248
2023-10-25,AAPL,280.52,281.03,279.33,279.83,3360424
2023-10-26,AAPL,279.77,280.01,278.25,279.64,2683601
2023-10-27,AAPL,277.9,279.0,277.82,278.54,3088570
2023-10-30,AAPL,278.44,278.97,276.83,277.66,2703801
2023-10-31,AAPL,276.42,277.75,275.61,275.9,3549912
2023-11-01,AAPL,276.61,277.7,274.97,277.36,4108989
2023-11-02,AAPL,276.84,278.13,275.34,275.83,3542438
2023-11-03,AAPL,277.09,278.2,275.36,276.32,4221265
2023-11-06,AAPL,276.51,277.5,275.41,275.56,1172552
2023-11-07,AAPL,274.98,275.76,274.94,275.24,4069617
2023-11-08,AAPL,276.67,277.05,274.68,276.38,3611534
2023-11-09,AAPL,276.52,278.27,276.22,276.55,1845712
2023-11-10,AAPL,277.7,279.55,276.21,277.0,2340040
2023-11-13,AAPL,278.44,280.41,278.21,279.02,4524563
2023-11-14,AAPL,278.22,278.82,277.35,278.25,4844165
2023-11-15,AAPL,277.7,279.45,275.96,276.83,4891542
2023-11-16,AAPL,276.49,278.18,275.07,276.01,1393085
2023-11-17,AAPL,275.86,276.42,275.48,275.61,2791272
2023-11-20,AAPL,275.12,277.01,273.34,274.27,2446112
2023-11-21,AAPL,274.26,275.57,272.62,273.16,3289543
2023-11-22,AAPL,273.86,274.77,272.62,274.73,1318836
2023-11-23,AAPL,275.96,276.34,274.17,274.46,2297524
2023-11-24,AAPL,273.91,274.22,272.41,273.71,1485437
2023-11-27,AAPL,273.12,274.97,271.28,271.59,1802024
2023-11-28,AAPL,269.44,271.05,267.74,269.34,1646069
2023-11-29,AAPL,267.74,268.65,266.59,266.76,3964112
2023-11-30,AAPL,268.29,269.63,266.39,269.2,1415011
2023-12-01,AAPL,270.32,271.5,269.36,269.39,4875313
2023-12-04,AAPL,271.13,272.97,269.15,271.02,2423643
2023-12-05,AAPL,271.53,272.8,270.07,271.65,3437001
2023-12-06,AAPL,272.22,272.36,271.94,271.97,2299908
2023-12-07,AAPL,271.58,273.29,270.95,271.96,2384662
2023-12-08,AAPL,272.74,273.61,271.89,272.22,4682712
2023-12-11,AAPL,272.84,273.81,271.78,272.42,2755735
2023-12-12,AAPL,272.43,273.47,272.32,273.4,2780493
2023-12-13,AAPL,273.99,274.44,272.89,273.07,2495233
2023-12-14,AAPL,274.7,274.99,273.22,273.7,1460354
2023-12-15,AAPL,273.14,274.79,271.53,272.46,1054492
2023-12-18,AAPL,272.32,272.43,271.36,272.0,2192979
2023-12-19,AAPL,272.37,273.18,271.27,271.65,3899707
2023-12-20,AAPL,272.74,273.04,272.7,272.93,3109363
2023-12-21,AAPL,274.09,274.23,272.33,274.11,3173117
2023-12-22,AAPL,273.88,275.55,273.14,275.22,3408755
2023-12-25,AAPL,275.58,276.49,275.48,275.79,1936638
2023-12-26,AAPL,274.18,274.36,273.1,273.94,3400579
2023-12-27,AAPL,274.65,275.86,273.3,275.03,1569943
2023-12-28,AAPL,274.4,275.71,273.82,274.04,2735114
2023-12-29,AAPL,275.52,277.4,275.49,277.18,3840266
2023-01-02,MSFT,123.56,124.19,122.14,123.91,1711621
2023-01-03,MSFT,122.71,122.92,120.78,122.22,4747231
2023-01-04,MSFT,122.36,122.77,121.24,121.37,3583361
2023-01-05,MSFT,120.65,122.4,119.44,119.71,3467095
2023-01-06,MSFT,118.79,120.04,118.71,119.39,3555070
2023-01-09,MSFT,119.1,119.9,118.4,118.42,2163860
2023-01-10,MSFT,118.54,119.92,116.91,117.06,3788256
2023-01-11,MSFT,118.11,119.03,117.14,118.63,1338622
2023-01-12,MSFT,119.98,121.11,119.67,120.0,1518840
2023-01-13,MSFT,121.63,121.87,119.71,120.17,4695556
2023-01-16,MSFT,119.96,120.16,118.66,119.31,3672772
2023-01-17,MSFT,119.5,119.75,118.37,118.95,2533937
2023-01-18,MSFT,117.92,119.58,117.66,118.29,2434754
2023-01-19,MSFT,116.14,117.66,114.29,117.59,1171507
2023-01-20,MSFT,117.12,118.42,116.01,116.28,3614906
2023-01-23,MSFT,114.9,115.07,114.5,114.81,3555245
2023-01-24,MSFT,116.38,117.4,115.01,115.98,2598608
2023-01-25,MSFT,116.04,117.75,114.85,115.36,3948960
2023-01-26,MSFT,115.92,117.44,114.11,115.02,4439733
2023-01-27,MSFT,115.35,115.88,115.25,115.41,2675147
2023-01-30,MSFT,115.65,116.89,114.76,115.32,2329453
2023-01-31,MSFT,114.77,115.55,114.68,115.52,2268833
2023-02-01,MSFT,116.81,117.22,116.42,116.98,2959936
2023-02-02,MSFT,116.55,117.03,115.64,116.76,4353310
2023-02-03,MSFT,116.55,117.88,116.54,117.13,3332990
2023-02-06,MSFT,117.14,117.94,116.31,116.32,2000849
2023-02-07,MSFT,115.81,116.31,115.14,115.46,3884126
2023-02-08,MSFT,113.53,114.25,111.55,112.72,2143197
2023-02-09,MSFT,112.36,112.4,112.22,112.35,4359580
2023-02-10,MSFT,113.56,113.83,111.8,113.14,1295994
2023-02-13,MSFT,111.48,111.65,111.23,111.31,4188766
2023-02-14,MSFT,109.43,109.62,108.22,108.58,4274072
2023-02-15,MSFT,109.46,110.62,107.5,110.19,4215451
2023-02-16,MSFT,112.0,113.12,110.38,111.7,4722320
2023-02-17,MSFT,111.86,113.13,111.03,112.1,4488736
2023-02-20,MSFT,112.51,113.99,111.86,112.35,3659175
2023-02-21,MSFT,112.8,114.13,111.01,113.56,3550938
2023-02-22,MSFT,112.47,114.17,112.27,114.11,4041959
2023-02-23,MSFT,115.05,115.92,113.18,115.81,4181340
2023-02-24,MSFT,114.93,114.98,113.94,114.93,4129873
2023-02-27,MSFT,116.39,116.44,116.24,116.38,2635434
2023-02-28,MSFT,115.19,116.25,115.12,115.23,2961821
2023-03-01,MSFT,115.85,117.6,113.9,113.94,1446893
2023-03-02,MSFT,113.37,114.5,112.6,114.5,1176218
2023-03-03,MSFT,113.94,115.21,113.9,114.74,4118035
2023-03-06,MSFT,114.99,115.44,114.32,115.11,4858896
2023-03-07,MSFT,112.83,113.13,111.08,112.63,4077006
2023-03-08,MSFT,114.24,115.26,112.82,112.94,2568674
2023-03-09,MSFT,112.19,112.19,111.73,111.96,3236200
2023-03-10,MSFT,111.19,112.6,109.54,112.31,4951118
2023-03-13,MSFT,112.22,113.89,112.12,112.6,1852394
2023-03-14,MSFT,113.39,114.26,112.67,113.21,4294691
2023-03-15,MSFT,111.45,113.02,110.28,110.68,3232927
2023-03-16,MSFT,109.44,110.76,107.94,110.41,4728296
2023-03-17,MSFT,110.29,110.59,108.48,109.26,1677879
2023-03-20,MSFT,109.84,111.01,108.86,110.73,2147150
2023-03-21,MSFT,109.36,110.37,107.72,108.75,2105661
2023-03-22,MSFT,107.92,109.14,106.18,106.57,1079524
2023-03-23,MSFT,104.8,106.51,102.99,104.18,1590720
2023-03-24,MSFT,104.32,104.39,103.79,104.06,2311563
2023-03-27,MSFT,104.58,105.98,103.42,104.12,4855164
2023-03-28,MSFT,103.02,103.19,102.92,103.14,2632636
2023-03-29,MSFT,103.75,104.42,102.27,103.85,4226938
2023-03-30,MSFT,104.64,104.96,103.21,104.77,3676717
2023-03-31,MSFT,105.32,106.43,103.96,106.05,1936767
2023-04-03,MSFT,105.88,107.31,105.65,107.27,1758364
2023-04-04,MSFT,108.08,108.35,106.87,107.22,1341249
2023-04-05,MSFT,106.92,108.28,104.96,107.54,3868658
2023-04-06,MSFT,108.16,108.54,106.58,107.76,3732801
2023-04-07,MSFT,106.29,106.46,105.39,106.03,4146885
2023-04-10,MSFT,105.21,105.84,103.23,104.56,1605033
2023-04-11,MSFT,103.83,104.32,102.96,103.85,1871017
2023-04-12,MSFT,103.23,104.81,102.99,104.35,2309950
2023-04-13,MSFT,102.59,103.49,101.41,103.39,2978941
2023-04-14,MSFT,103.22,104.08,101.54,102.67,1734634
2023-04-17,MSFT,100.47,100.49,100.02,100.29,1354555
2023-04-18,MSFT,99.97,100.86,98.34,99.68,1242489
2023-04-19,MSFT,98.0,98.08,97.57,97.79,2169927
2023-04-20,MSFT,97.49,98.07,96.19,97.56,2904317
2023-04-21,MSFT,99.04,100.84,99.02,99.44,2944685
2023-04-24,MSFT,99.9,100.52,98.84,99.18,2888628
2023-04-25,MSFT,99.71,100.22,98.35,99.87,2799558
2023-04-26,MSFT,100.66,101.59,100.5,100.8,4914473
2023-04-27,MSFT,101.04,101.86,100.79,100.83,3135715
2023-04-28,MSFT,101.32,103.16,100.66,102.67,4593396
2023-05-01,MSFT,102.73,104.45,102.17,103.92,3048521
2023-05-02,MSFT,105.24,105.42,103.43,104.45,1204016
2023-05-03,MSFT,102.95,104.32,102.85,104.17,3207643
2023-05-04,MSFT,103.27,104.95,101.6,104.27,2289819
2023-05-05,MSFT,104.56,104.79,102.64,104.72,2567727
2023-05-08,MSFT,103.92,105.42,103.84,104.71,3613018
2023-05-09,MSFT,105.9,106.36,105.18,106.34,3073721
2023-05-10,MSFT,106.94,107.67,106.76,107.47,1123293
2023-05-11,MSFT,106.47,107.66,105.74,106.69,2851399
2023-05-12,MSFT,105.31,106.44,104.95,105.2,3760701
2023-05-15,MSFT,105.66,105.95,103.99,104.44,1703127
2023-05-16,MSFT,103.38,103.69,103.34,103.56,1668079
2023-05-17,MSFT,103.78,104.96,101.96,103.99,2249022
2023-05-18,MSFT,106.09,107.97,104.99,105.06,1683676
2023-05-19,MSFT,104.85,105.79,103.36,104.37,3989211
2023-05-22,MSFT,103.94,105.45,103.75,104.91,3894559
2023-05-23,MSFT,104.52,106.15,103.12,104.99,4233486
2023-05-24,MSFT,104.46,105.78,103.42,103.52,4794003
2023-05-25,MSFT,103.12,105.05,101.29,103.55,4861002
2023-05-26,MSFT,105.77,106.17,105.65,105.68,2484558
2023-05-29,MSFT,104.73,106.52,103.16,103.18,2909247
2023-05-30,MSFT,102.74,104.02,101.59,102.71,1296782
2023-05-31,MSFT,101.24,102.72,101.16,102.29,2578153
2023-06-01,MSFT,100.7,101.41,98.85,100.41,2395456
2023-06-02,MSFT,100.56,102.07,99.36,101.26,1800982
2023-06-05,MSFT,101.87,103.4,100.97,101.2,3622626
2023-06-06,MSFT,100.26,100.48,98.66,100.14,3097603
2023-06-07,MSFT,98.78,100.14,97.09,97.3,1551039
2023-06-08,MSFT,96.21,97.07,95.91,96.9,4151673
2023-06-09,MSFT,98.02,98.5,97.55,98.39,3851963
2023-06-12,MSFT,98.03,98.27,97.46,97.65,1482150
2023-06-13,MSFT,97.24,98.31,95.72,96.53,3549749
2023-06-14,MSFT,97.57,97.98,96.06,96.81,4866637
2023-06-15,MSFT,96.77,97.91,95.75,97.5,2579793
2023-06-16,MSFT,97.55,97.84,96.4,97.32,1619743
2023-06-19,MSFT,98.4,100.1,97.55,98.43,3247505
2023-06-20,MSFT,99.48,100.49,97.94,98.76,4278681
2023-06-21,MSFT,98.47,100.33,98.24,100.27,3809163
2023-06-22,MSFT,100.37,100.86,99.27,99.65,4523531
2023-06-23,MSFT,100.21,100.74,98.84,100.21,2372057
2023-06-26,MSFT,99.86,100.77,98.79,100.33,2784102
2023-06-27,MSFT,98.21,98.61,98.0,98.27,4569169
2023-06-28,MSFT,96.49,96.86,94.93,95.26,2440250
2023-06-29,MSFT,95.98,96.35,94.65,94.92,1198923
2023-06-30,MSFT,95.72,96.95,94.44,94.61,3132086
2023-07-03,MSFT,95.47,95.82,95.33,95.45,4504755
2023-07-04,MSFT,96.31,96.37,94.86,95.65,1713255
2023-07-05,MSFT,96.25,96.62,95.36,95.39,3582549
2023-07-06,MSFT,93.77,94.19,92.53,94.11,4694041
2023-07-07,MSFT,94.73,95.03,93.26,93.91,4026822
2023-07-10,MSFT,94.47,96.46,92.92,94.36,1994076
2023-07-11,MSFT,96.13,97.91,95.37,97.79,1587953
2023-07-12,MSFT,98.07,98.8,97.34,98.64,2549785
2023-07-13,MSFT,98.77,99.99,98.19,99.94,2258301
2023-07-14,MSFT,100.7,102.34,98.9,101.3,4397147
2023-07-17,MSFT,100.17,100.41,99.41,99.77,1468085
2023-07-18,MSFT,100.57,101.2,99.7,100.98,4615201
2023-07-19,MSFT,100.9,101.23,99.05,99.89,2943048
2023-07-20,MSFT,100.21,101.92,98.97,100.95,3609555
2023-07-21,MSFT,100.56,101.26,98.99,100.31,1488357
2023-07-24,MSFT,100.83,101.97,99.89,100.7,4564199
2023-07-25,MSFT,100.54,102.45,99.19,100.35,2248599
2023-07-26,MSFT,98.88,100.09,97.24,99.26,2326605
2023-07-27,MSFT,98.83,100.67,98.45,99.69,1940179
2023-07-28,MSFT,99.23,100.26,98.78,99.14,1852373
2023-07-31,MSFT,99.93,101.06,98.36,99.53,4703540
2023-08-01,MSFT,99.48,100.02,99.22,99.82,3099317
2023-08-02,MSFT,101.09,102.18,99.66,101.27,1908855
2023-08-03,MSFT,100.17,102.16,98.57,98.99,1768157
2023-08-04,MSFT,99.03,100.96,98.89,100.72,2392576
2023-08-07,MSFT,100.8,101.58,100.08,100.62,3749375
2023-08-08,MSFT,99.56,99.82,97.67,98.75,4867505
2023-08-09,MSFT,100.58,102.39,100.07,101.0,4136241
2023-08-10,MSFT,97.66,98.51,95.83,96.18,2642436
2023-08-11,MSFT,95.86,96.06,95.78,95.84,4426335
2023-08-14,MSFT,95.43,97.43,94.15,95.75,2756355
2023-08-15,MSFT,95.38,95.95,94.55,95.1,3614854
2023-08-16,MSFT,94.18,94.4,92.61,92.86,1979007
2023-08-17,MSFT,94.32,95.8,93.03,93.45,2183533
2023-08-18,MSFT,92.68,94.03,92.47,92.64,4439900
2023-08-21,MSFT,92.53,93.31,92.25,93.14,4949439
2023-08-22,MSFT,94.13,95.22,92.88,94.76,4240857
2023-08-23,MSFT,94.41,95.31,94.18,95.04,3136065
2023-08-24,MSFT,95.86,95.9,95.22,95.81,2988961
2023-08-25,MSFT,95.11,96.86,93.61,93.97,2735382
2023-08-28,MSFT,93.68,93.91,91.95,92.6,4616112
2023-08-29,MSFT,91.44,91.59,90.94,91.25,4778534
2023-08-30,MSFT,92.17,93.64,92.0,92.32,4049486
2023-08-31,MSFT,91.78,93.41,90.57,93.01,4764367
2023-09-01,MSFT,92.84,93.0,91.57,91.61,1733680
2023-09-04,MSFT,92.92,93.78,91.65,91.9,1009443
